Writing Image
Write-Pointer 2124672
Write-Pointer 2124704
Write-Pointer 2124736
Write-Pointer 2124768
Write-Pointer 2124800
Write-Pointer 2124832
Write-Pointer 2124864
Write-Pointer 2124896
Write-Pointer 2124928
Write-Pointer 2124960
Write-Pointer 2124992
Write-Pointer 2125024
Write-Pointer 2125056
Write-Pointer 2125088
Write-Pointer 2125120
Write-Pointer 2125152
Write-Pointer 2125184
Write-Pointer 2125216
Write-Pointer 2125248
Write-Pointer 2125280
Write-Pointer 2125312
Write-Pointer 2125344
Write-Pointer 2125376
Write-Pointer 2125408
Write-Pointer 2125440
Write-Pointer 2125472
Write-Pointer 2125504
Write-Pointer 2125536
Write-Pointer 2125568
Write-Pointer 2125600
Write-Pointer 2125632
Write-Pointer 2125664
Write-Pointer 2125696
Write-Pointer 2125728
Write-Pointer 2125760
Write-Pointer 2125792
Write-Pointer 2125824
Write-Pointer 2125856
Write-Pointer 2125888
Write-Pointer 2125920
Write-Pointer 2125952
Write-Pointer 2125984
Write-Pointer 2126016
Write-Pointer 2126048
Write-Pointer 2126080
Write-Pointer 2126112
Write-Pointer 2126144
Write-Pointer 2126176
Write-Pointer 2126208
Write-Pointer 2126240
Write-Pointer 2126272
Write-Pointer 2126304
Write-Pointer 2126336
Write-Pointer 2126368
Write-Pointer 2126400
Write-Pointer 2126432
Write-Pointer 2126464
Write-Pointer 2126496
Write-Pointer 2126528
Write-Pointer 2126560
Write-Pointer 2126592
Write-Pointer 2126624
Write-Pointer 2126656
Write-Pointer 2126688
Write-Pointer 2126720
Write-Pointer 2126752
Write-Pointer 2126784
Write-Pointer 2126816
Write-Pointer 2126848
Write-Pointer 2126880
Write-Pointer 2126912
Write-Pointer 2126944
Write-Pointer 2126976
Write-Pointer 2127008
Write-Pointer 2127040
Write-Pointer 2127072
Write-Pointer 2127104
Write-Pointer 2127136
Write-Pointer 2127168
Write-Pointer 2127200
Write-Pointer 2127232
Write-Pointer 2127264
Write-Pointer 2127296
Write-Pointer 2127328
Write-Pointer 2127360
Write-Pointer 2127392
Write-Pointer 2127424
Write-Pointer 2127456
Write-Pointer 2127488
Write-Pointer 2127520
Write-Pointer 2127552
Write-Pointer 2127584
Write-Pointer 2127616
Write-Pointer 2127648
Write-Pointer 2127680
Write-Pointer 2127712
Write-Pointer 2127744
Write-Pointer 2127776
Write-Pointer 2127808
Write-Pointer 2127840
Write-Pointer 2127872
Write-Pointer 2127904
Write-Pointer 2127936
Write-Pointer 2127968
Write-Pointer 2128000
Write-Pointer 2128032
Write-Pointer 2128064
Write-Pointer 2128096
Write-Pointer 2128128
Write-Pointer 2128160
Write-Pointer 2128192
Write-Pointer 2128224
Write-Pointer 2128256
Write-Pointer 2128288
